,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Massachusetts,30,12,18,0.4,0.64,3.54,7,9,6,7,3,10,2146,2211,,,,0.289,0.408,0.534,47.5,56.3,,10,0.507,17.4,,0.201
McNeese State,29,11,18,0.379,-5.47,-3.99,5,11,9,5,2,13,1853,1865,,,,0.314,0.273,0.501,52.4,51.4,,11.2,0.474,19.8,,0.203
Memphis NCAA,37,33,4,0.892,20.92,4.63,16,0,19,1,10,1,2779,2176,,,,0.399,0.313,0.537,54.2,53.7,,11.9,0.501,15.2,,0.275
Mercer,32,17,15,0.531,-7.1,0.12,11,9,8,4,7,11,2392,2429,,,,0.388,0.37,0.533,51.6,47.8,,6,0.492,18.3,,0.279
Miami (FL),32,19,13,0.594,11.76,9.04,7,9,12,4,5,7,2325,2123,,,,0.379,0.366,0.528,53.5,51,,7.5,0.494,16.3,,0.258
Miami (OH),30,17,13,0.567,3.16,0.46,10,6,9,2,7,10,1847,1766,,,,0.346,0.319,0.525,50.2,56.2,,6.6,0.488,18.7,,0.245
Michigan State NCAA,38,31,7,0.816,17.71,9.37,15,3,12,2,9,1,2737,2420,,,,0.411,0.266,0.536,56.8,63.5,,6,0.498,17.3,,0.287
Michigan NCAA,35,21,14,0.6,11.9,9.74,9,9,14,3,3,8,2341,2213,,,,0.285,0.477,0.54,47.5,66.7,,5.5,0.505,15.6,,0.216
Middle Tennessee,32,18,14,0.563,-1.32,-2.78,10,8,10,6,6,7,2254,2114,,,,0.383,0.27,0.53,52.1,48.6,,3.4,0.494,15.1,,0.266
Milwaukee,31,17,14,0.548,-0.54,0.8,11,7,12,3,3,10,2108,2108,,,,0.352,0.407,0.508,51.1,50.7,,6,0.467,16.2,,0.253
Minnesota NCAA,33,22,11,0.667,11.32,7.19,9,9,16,3,4,6,2189,2032,,,,0.345,0.324,0.531,51.5,59.6,,13.6,0.494,18.8,,0.247
Mississippi State NCAA,36,23,13,0.639,9.1,4.62,9,7,13,5,6,5,2677,2479,,,,0.412,0.398,0.544,49.4,50.2,,13.2,0.504,17.4,,0.292
Mississippi Valley State,32,7,25,0.219,-18.44,-7.22,7,11,7,3,0,19,2029,2388,,,,0.328,0.329,0.474,47.7,50.6,,3.6,0.437,18.7,,0.223
Mississippi,31,16,15,0.516,5.82,5.41,7,9,12,4,3,8,2254,2241,,,,0.342,0.346,0.53,50.5,45.7,,6.4,0.492,16.1,,0.249
Missouri-Kansas City,31,7,24,0.226,-10.11,-1.25,3,15,3,9,3,14,2008,2263,,,,0.347,0.332,0.495,48.5,48.4,,3.8,0.453,16.7,,0.246
Missouri State,31,11,20,0.355,-1.9,1.9,3,15,9,8,2,11,1887,1984,,,,0.38,0.38,0.5,49.7,54.9,,5.1,0.462,17.8,,0.258
Missouri NCAA,38,31,7,0.816,19.56,6.72,12,4,18,0,5,4,3096,2571,,,,0.366,0.313,0.554,49.6,62.2,,7.2,0.527,13.8,,0.246
Monmouth,31,8,23,0.258,-14.84,-5.91,6,12,6,8,1,14,1925,2188,,,,0.333,0.356,0.506,47.8,64.5,,5.6,0.47,19.6,,0.233
Montana State,31,14,17,0.452,-6.38,-2.45,6,10,7,5,7,11,2053,2152,,,,0.393,0.346,0.508,51.4,49.6,,6.9,0.471,17.5,,0.264
Montana,29,17,12,0.586,-2.92,-3.53,11,5,12,3,5,9,1905,1868,,,,0.38,0.316,0.554,49.4,53.8,,8.4,0.515,16.4,,0.277
Morehead State NCAA,36,20,16,0.556,-3.14,-3.61,12,6,12,1,4,12,2511,2411,,,,0.416,0.286,0.53,55.9,53.6,,8.1,0.485,19,,0.3
Morgan State NCAA,35,23,12,0.657,-2.29,-6.53,13,3,8,2,10,7,2333,2182,,,,0.33,0.262,0.493,52.4,45.9,,6.5,0.463,16.1,,0.214
Mount St. Mary's,33,19,14,0.576,-1.47,-5.78,12,6,12,2,7,12,2241,2079,,,,0.343,0.258,0.524,51.3,49.9,,7.6,0.494,16.8,,0.231
Murray State,31,19,12,0.613,-0.09,-3.95,13,5,12,2,6,6,2119,1959,,,,0.407,0.297,0.531,52.3,53.7,,4.6,0.489,16.9,,0.291
Navy,30,19,11,0.633,-5.35,-7.68,8,6,12,3,7,7,2129,2059,,,,0.38,0.378,0.518,48.9,52.7,,4.8,0.474,16.9,,0.275
Nebraska,31,18,13,0.581,8.92,4.82,8,8,14,4,4,8,1999,1872,,,,0.382,0.363,0.539,44.7,59.8,,4,0.502,16.1,,0.268
Nevada-Las Vegas,32,21,11,0.656,8.68,4.34,9,7,15,4,6,7,2200,2061,,,,0.379,0.4,0.527,47.8,58.3,,8.1,0.492,15.3,,0.259
Nevada,34,21,13,0.618,4.28,1.4,11,5,13,8,8,5,2400,2249,,,,0.404,0.279,0.521,51,49.3,,9.7,0.47,15,,0.301
New Hampshire,30,14,16,0.467,-9.4,-5.57,8,8,8,5,5,10,1876,1936,,,,0.319,0.443,0.486,51.2,49.9,,6.2,0.458,17.1,,0.204
New Mexico State,32,17,15,0.531,2.25,0.28,9,7,12,4,4,10,2443,2380,,,,0.377,0.299,0.557,47.9,52.8,,7.1,0.525,16.3,,0.264
New Mexico,34,22,12,0.647,11.37,3.6,12,4,16,2,6,7,2510,2246,,,,0.46,0.344,0.565,52.2,62.1,,7.4,0.527,16,,0.323
New Orleans,30,11,19,0.367,-9.79,-4.08,6,12,9,6,2,13,1863,2000,,,,0.408,0.234,0.507,48.4,43.5,,3.7,0.47,19.6,,0.269
Niagara,35,26,9,0.743,6.21,-2.25,14,4,11,3,10,6,2665,2369,,,,0.412,0.393,0.52,49.7,55.3,,8.7,0.476,15.3,,0.293
Nicholls State,31,20,11,0.645,-3.08,-4.08,12,4,11,3,7,6,2029,1866,,,,0.397,0.395,0.574,49.5,64.9,,3.4,0.547,20,,0.269
Norfolk State,31,13,18,0.419,-13.31,-9.49,9,7,6,4,5,10,2119,2219,,,,0.375,0.272,0.509,48.7,41.6,,7.3,0.477,19.4,,0.244
North Carolina-Asheville,31,15,16,0.484,-11.34,-4.19,10,8,11,3,4,13,2261,2410,,,,0.364,0.327,0.536,47.9,62.1,,7.8,0.504,19.4,,0.25
North Carolina A&T,32,16,16,0.5,-13,-8.37,9,7,10,2,4,13,2145,2138,,,,0.319,0.342,0.506,50,49.5,,9.4,0.481,21.4,,0.202
North Carolina-Greensboro,30,5,25,0.167,-16.01,-4.33,4,16,2,10,3,14,1888,2216,,,,0.369,0.334,0.485,48.5,48,,7.3,0.45,19,,0.239
North Carolina State,30,16,14,0.533,8.38,6.74,6,10,14,4,2,8,2189,2087,,,,0.378,0.331,0.571,52.5,59.2,,7.1,0.538,18.5,,0.271
North Carolina-Wilmington,32,7,25,0.219,-13.82,-0.66,3,15,5,9,1,15,2280,2673,,,,0.295,0.414,0.512,45.1,55.1,,2.2,0.483,16.8,,0.201
North Carolina NCAA,38,34,4,0.895,25.46,8.35,13,3,14,1,8,2,3413,2735,,,,0.392,0.272,0.573,54.1,56.8,,8.9,0.533,13.7,,0.295
North Dakota State NCAA,33,26,7,0.788,6.18,-2.72,16,2,12,1,10,4,2659,2279,,,,0.374,0.299,0.583,53.1,51.5,,6.3,0.549,14,,0.276
North Texas,32,20,12,0.625,-1.14,-2.77,11,7,12,4,7,6,2472,2390,,,,0.478,0.32,0.544,51.6,48.5,,5.3,0.493,15.4,,0.35
Northeastern,32,19,13,0.594,1.91,-0.24,12,6,7,5,11,7,2001,1932,,,,0.385,0.344,0.535,50.1,54.2,,6.2,0.492,17.7,,0.282
Northern Arizona,27,8,19,0.296,-6.14,-1.7,5,11,7,5,1,14,1795,1829,,,,0.315,0.33,0.554,51.6,60.9,,5.5,0.539,19.8,,0.194
Northern Colorado,32,14,18,0.438,-4.57,-3.64,8,8,10,4,3,13,2259,2266,,,,0.448,0.344,0.569,51.4,52.9,,3.6,0.527,19.9,,0.324
Northern Illinois,30,10,20,0.333,-10,-5.13,5,11,7,5,2,11,1985,2123,,,,0.397,0.32,0.501,49.8,53,,6.6,0.478,19.5,,0.235
Northern Iowa NCAA,34,23,11,0.676,5.63,2.24,14,4,11,4,8,4,2290,2158,,,,0.424,0.371,0.563,52.4,54.6,,5.3,0.517,16.3,,0.32
Northwestern State,31,11,20,0.355,-18.7,-3.34,3,13,6,7,3,12,2188,2475,,,,0.369,0.29,0.481,50.9,54,,10.2,0.446,20.9,,0.24
Northwestern,31,17,14,0.548,8.56,6.93,8,10,13,4,4,9,1967,1876,,,,0.294,0.422,0.55,46,67.7,,6.9,0.526,16.2,,0.203
Notre Dame,36,21,15,0.583,12.26,8.7,8,10,15,3,3,8,2727,2544,,,,0.267,0.351,0.53,50.5,60.8,,4.7,0.503,11.8,,0.189
Oakland,36,23,13,0.639,1.8,-1.6,13,5,12,0,7,10,2699,2546,,,,0.363,0.358,0.573,50.5,56.7,,9.2,0.546,16.2,,0.253
Ohio State NCAA,33,22,11,0.667,12.48,8.23,10,8,15,3,4,7,2206,2046,,,,0.383,0.356,0.577,48.9,56.6,,11.2,0.548,18.7,,0.268
Ohio,32,15,17,0.469,-1.56,-1.4,7,9,11,2,2,13,2075,2080,,,,0.391,0.351,0.535,48.3,61.5,,4.2,0.498,19.2,,0.275
Oklahoma State NCAA,35,23,12,0.657,13.78,7.44,9,7,14,2,4,6,2830,2608,,,,0.394,0.413,0.579,48.9,47,,4.6,0.54,15,,0.295
Oklahoma NCAA,36,30,6,0.833,18.07,6.88,13,3,16,1,7,3,2833,2430,,,,0.465,0.345,0.581,53.9,53.1,,8.1,0.552,17,,0.314
Old Dominion,35,25,10,0.714,2.86,-2.23,12,6,16,3,8,7,2333,2110,,,,0.325,0.26,0.511,55.1,61.8,,7.4,0.486,15.8,,0.208
Oral Roberts,31,16,15,0.516,3.68,-0.05,14,4,9,2,6,10,2194,2058,,,,0.406,0.306,0.525,51.9,51.2,,6,0.491,17.4,,0.271
Oregon State,36,18,18,0.5,4.25,7.55,7,11,13,7,5,10,2189,2279,,,,0.321,0.362,0.551,48.4,57.8,,4.3,0.531,19.4,,0.207
Oregon,31,8,23,0.258,1.51,10.28,2,16,6,9,1,10,2088,2360,,,,0.379,0.378,0.505,46.6,53,,6.5,0.469,18.2,,0.255
Pacific,34,21,13,0.618,2.22,-1.59,10,6,12,4,7,8,2254,2120,,,,0.364,0.369,0.561,51.8,58.6,,4.6,0.535,17.1,,0.247
Penn State,38,27,11,0.711,9.49,5.71,10,8,17,3,6,7,2545,2378,,,,0.339,0.382,0.537,52.4,54.5,,3.5,0.512,14.8,,0.223
Pennsylvania,28,10,18,0.357,-7.78,-3.33,6,8,3,11,6,7,1835,1935,,,,0.389,0.348,0.509,48.1,63.5,,6.3,0.471,18.1,,0.265
Pepperdine,32,9,23,0.281,-11.23,1.88,5,9,5,10,2,11,1974,2342,,,,0.282,0.292,0.469,49.1,47.6,,6.3,0.432,19.4,,0.199
Pittsburgh NCAA,36,31,5,0.861,21.21,8.61,15,3,19,0,7,2,2787,2320,,,,0.328,0.294,0.555,56.6,60.9,,7.7,0.53,14.8,,0.222
Portland State NCAA,33,23,10,0.697,1.14,-3.16,11,5,13,1,7,7,2417,2262,,,,0.293,0.44,0.559,50.3,58.4,,5.7,0.537,17.3,,0.199
Portland,32,19,13,0.594,2.89,-0.05,9,5,12,2,5,10,2249,2154,,,,0.335,0.355,0.562,51.7,61.3,,4.8,0.539,18.5,,0.224
Prairie View,33,17,16,0.515,-12.47,-9.81,12,6,11,2,5,12,2318,2235,,,,0.378,0.305,0.509,51.5,50.7,,4.9,0.48,17.4,,0.239
Princeton,27,13,14,0.481,-7.82,-7.66,8,6,8,6,5,8,1561,1545,,,,0.292,0.389,0.537,48.8,55.1,,6.5,0.502,19.6,,0.219
Providence,33,19,14,0.576,7.82,7.23,10,8,13,5,4,6,2577,2531,,,,0.395,0.352,0.539,50.5,54.1,,6.4,0.506,16.7,,0.268
Purdue NCAA,37,27,10,0.73,16.44,7.17,11,7,18,3,5,5,2555,2212,,,,0.332,0.34,0.533,49.6,60.4,,9.7,0.5,15.1,,0.233
Quinnipiac,31,15,16,0.484,-9.16,-8.57,10,8,6,7,9,7,2058,2088,,,,0.369,0.249,0.498,54.3,50,,5.2,0.471,17.8,,0.229
Radford NCAA,33,21,12,0.636,-4.55,-4.37,15,3,12,5,9,6,2491,2372,,,,0.43,0.242,0.539,54.2,52.7,,8.5,0.504,18.9,,0.292
Rhode Island,34,23,11,0.676,7.89,1.21,11,5,12,2,10,7,2696,2469,,,,0.341,0.264,0.56,51.8,54.6,,6.8,0.532,15.9,,0.238
Rice,32,10,22,0.313,-5.05,3.18,4,12,5,10,2,11,2040,2273,,,,0.333,0.337,0.521,47.2,61.8,,4.5,0.489,17.8,,0.23
Richmond,36,20,16,0.556,2.61,1.08,9,7,11,7,7,7,2518,2431,,,,0.331,0.359,0.544,46.5,47.6,,7.2,0.518,15.7,,0.224
Rider,32,19,13,0.594,-2.63,-2.98,12,6,11,4,7,8,2303,2271,,,,0.331,0.34,0.531,49.5,50.2,,7.1,0.503,17.1,,0.223
Robert Morris NCAA,35,24,11,0.686,-0.7,-5.23,15,3,14,3,9,7,2467,2288,,,,0.367,0.308,0.565,50.8,60.9,,7.5,0.534,19.5,,0.259
Rutgers,32,11,21,0.344,1.07,6.6,2,16,8,10,3,10,2021,2131,,,,0.322,0.323,0.502,51.4,49,,11.1,0.463,19.7,,0.231
Sacramento State,29,2,27,0.069,-17.77,-2.29,1,15,2,11,0,16,1652,2100,,,,0.354,0.296,0.493,45.3,51.9,,3.5,0.454,20.1,,0.245
Sacred Heart,31,17,14,0.548,-4.4,-6.85,12,6,10,4,7,10,2277,2167,,,,0.26,0.345,0.572,49.7,60.7,,7.4,0.552,19.9,,0.182
Saint Francis (PA),29,6,23,0.207,-15.7,-6.24,3,15,4,8,2,15,1771,2041,,,,0.347,0.354,0.524,49.5,63.3,,4.2,0.484,21.5,,0.254
Saint Joseph's,32,17,15,0.531,4.21,2.21,9,7,7,6,8,6,2184,2120,,,,0.402,0.282,0.533,50.2,62.4,,7.2,0.487,17.3,,0.295
Saint Louis,32,18,14,0.563,1.02,0.99,8,8,14,3,2,9,1977,1944,,,,0.384,0.313,0.521,50.8,54.7,,5.2,0.483,17.5,,0.267
Saint Mary's (CA),35,28,7,0.8,9.52,1.49,10,4,15,1,8,4,2569,2243,,,,0.385,0.343,0.536,54.8,52.4,,9.5,0.5,15.4,,0.267
Saint Peter's,30,11,19,0.367,-8.39,-3.43,8,10,7,7,4,11,1780,1911,,,,0.384,0.275,0.483,48.7,48.1,,9.1,0.444,19.9,,0.255
Sam Houston State,30,18,12,0.6,-0.39,-2.59,12,4,11,4,7,7,2279,2078,,,,0.413,0.382,0.552,52.4,71.1,,5.1,0.515,17.9,,0.29
Samford,32,16,16,0.5,-8.28,-6.38,9,11,10,4,4,12,1972,1990,,,,0.35,0.501,0.58,44.3,64.6,,2.8,0.557,19.7,,0.239
San Diego State,36,26,10,0.722,11.54,4.74,11,5,16,2,6,5,2416,2147,,,,0.34,0.311,0.533,51.6,53.8,,5.4,0.499,16.8,,0.24
San Diego,32,16,16,0.5,-0.37,1.57,6,8,9,6,4,7,1973,1953,,,,0.326,0.275,0.519,48,51.3,,7.9,0.484,18.3,,0.23
San Francisco,30,11,19,0.367,-5.91,0.3,3,11,7,5,3,13,2030,2113,,,,0.396,0.362,0.534,48.5,54.2,,4.5,0.497,17.2,,0.275
San Jose State,30,13,17,0.433,-2.64,0.44,6,10,7,7,5,10,2024,2040,,,,0.356,0.246,0.516,52.7,50.7,,5.9,0.483,18.4,,0.241
Santa Clara,33,16,17,0.485,-0.55,0.41,7,7,11,3,4,10,2164,2119,,,,0.368,0.324,0.553,53.7,54.6,,9.7,0.519,21.9,,0.26
Savannah State,29,15,14,0.517,-12.95,-1.16,,,13,3,2,11,1733,1805,,,,0.344,0.256,0.491,50.6,55.8,,5,0.452,21.9,,0.237
Seton Hall,32,17,15,0.531,7.53,6.47,7,11,10,6,4,7,2376,2331,,,,0.336,0.313,0.527,45.7,48.7,,6.5,0.491,14.9,,0.242
Siena NCAA,35,27,8,0.771,8.05,0.99,16,2,17,0,9,4,2709,2462,,,,0.357,0.259,0.537,49.7,53,,8.3,0.51,15.5,,0.237
South Alabama,33,20,13,0.606,-2.62,-3.75,10,8,11,5,6,7,2301,2204,,,,0.417,0.228,0.543,54.2,53.4,,10.4,0.512,17.5,,0.277
South Carolina State,31,17,14,0.548,-10.31,-9.47,10,6,10,4,5,8,2166,2092,,,,0.379,0.265,0.531,55.1,54.4,,6.5,0.499,21.4,,0.254
South Carolina,31,21,10,0.677,8.78,4.2,10,6,16,3,5,6,2425,2209,,,,0.337,0.292,0.526,48.2,38.3,,9.4,0.503,15.4,,0.216
South Dakota State,33,13,20,0.394,-5.83,-1.45,7,11,10,3,1,15,2280,2346,,,,0.343,0.346,0.534,50.9,48.1,,3,0.5,16.6,,0.241
South Florida,31,9,22,0.29,2.63,8.18,4,14,7,7,1,12,1830,2002,,,,0.349,0.318,0.473,49.5,58.1,,5.5,0.447,16.7,,0.209
Southeast Missouri State,30,3,27,0.1,-18.72,-3.75,0,18,2,11,0,15,2035,2416,,,,0.368,0.274,0.513,46.4,46.6,,6.1,0.474,18.8,,0.256
Southeastern Louisiana,30,13,17,0.433,-6.22,-2.89,7,9,9,4,4,12,2127,2007,,,,0.323,0.307,0.54,51.4,56.2,,8.6,0.52,17.9,,0.207
Southern California NCAA,35,22,13,0.629,14.09,9.15,9,9,15,2,2,8,2397,2224,,,,0.422,0.215,0.542,53.9,50.2,,9.7,0.508,18,,0.284
Southern Illinois,31,13,18,0.419,0.35,3.19,8,10,8,6,5,8,1966,2037,,,,0.38,0.32,0.522,49.1,59.9,,5.4,0.479,19.7,,0.274
Southern Methodist,30,9,21,0.3,-3.27,3.62,3,13,9,8,0,12,1937,2047,,,,0.32,0.311,0.516,51.1,47,,7.4,0.492,19.2,,0.206
Southern Mississippi,32,15,17,0.469,1.54,3.81,4,12,11,6,1,8,2136,2133,,,,0.391,0.203,0.511,51.1,44.2,,4.1,0.464,13.3,,0.284
Southern Utah,31,11,20,0.355,-5.44,-2.12,8,10,8,6,2,13,2017,2114,,,,0.403,0.248,0.561,52.1,60.5,,2.3,0.508,20.5,,0.321
Southern,31,8,23,0.258,-17.64,-11.5,8,10,6,7,2,13,1957,2173,,,,0.378,0.296,0.49,52.3,47.8,,4.8,0.454,20.8,,0.247
St. Bonaventure,30,15,15,0.5,-2.57,-1.12,6,10,8,6,7,7,2103,2135,,,,0.37,0.251,0.523,52.5,57.2,,9,0.492,20.3,,0.247
St. Francis (NY),30,10,20,0.333,-12.66,-6.66,7,11,6,6,4,14,1970,2128,,,,0.336,0.444,0.521,46.4,55.5,,8.6,0.496,20.1,,0.217
St. John's (NY),34,16,18,0.471,4.28,6.83,6,12,13,8,1,10,2242,2298,,,,0.372,0.244,0.495,52.3,49.8,,7.5,0.462,18.2,,0.241
Stanford,34,20,14,0.588,10.58,6.91,6,12,15,4,4,9,2488,2332,,,,0.335,0.335,0.554,49.7,57.2,,4.7,0.525,16,,0.236
Stephen F. Austin NCAA,32,24,8,0.75,1.1,-3.21,13,3,13,0,6,7,2099,1795,,,,0.3,0.313,0.512,50.5,53.6,,6.6,0.487,15.8,,0.195
Stetson,30,13,17,0.433,-6.88,1.17,9,11,10,4,3,12,1989,2058,,,,0.3,0.417,0.476,49.6,44.2,,6.9,0.449,17.1,,0.192
Stony Brook,30,16,14,0.533,-4.82,-6.49,8,8,7,7,9,6,1951,1828,,,,0.362,0.302,0.502,50.9,43.1,,5.8,0.465,16.7,,0.246
Syracuse NCAA,38,28,10,0.737,17.24,9.48,11,7,16,3,5,5,3046,2725,,,,0.388,0.326,0.565,51.7,61.9,,8.8,0.544,17.8,,0.25
Temple NCAA,34,22,12,0.647,9.05,3.9,11,5,9,2,9,8,2333,2158,,,,0.287,0.368,0.538,52.2,62.3,,8.3,0.511,16.4,,0.201
Tennessee-Martin,32,22,10,0.688,0.06,-4.9,14,4,12,3,9,6,2523,2242,,,,0.322,0.373,0.548,50.7,51.9,,5.5,0.513,15.1,,0.237
Tennessee State,30,12,18,0.4,-10.79,-4.47,9,9,8,6,4,12,2185,2353,,,,0.4,0.256,0.537,49.5,54,,6.7,0.502,18.8,,0.274
Tennessee Tech,30,12,18,0.4,-6.64,-4.68,6,12,8,7,4,11,2209,2189,,,,0.323,0.311,0.525,49.6,50.6,,10.4,0.496,18.4,,0.219
Tennessee NCAA,34,21,13,0.618,13.6,7.71,10,6,10,5,6,5,2665,2465,,,,0.367,0.346,0.539,53,57.9,,7.3,0.509,15.5,,0.248
Texas A&M-Corpus Christi,33,18,15,0.545,-3.49,-1.46,11,5,11,3,6,11,2255,2228,,,,0.434,0.314,0.512,52.6,54.4,,8,0.469,20.4,,0.296
Texas A&M NCAA,34,24,10,0.706,10.52,6.13,9,7,16,2,5,5,2440,2281,,,,0.468,0.306,0.545,53.6,51.9,,7.8,0.504,16.2,,0.324
Texas-Arlington,30,16,14,0.533,-2.37,-3.37,9,7,9,2,7,10,2341,2223,,,,0.362,0.341,0.567,50.9,54.8,,4.6,0.529,16.6,,0.271
Texas Christian,31,14,17,0.452,2.23,3.96,5,11,10,5,3,10,1978,1988,,,,0.374,0.347,0.528,49.8,57,,2.4,0.484,18.3,,0.274
Texas-El Paso,37,23,14,0.622,6.67,3.21,10,6,13,5,8,6,2788,2660,,,,0.464,0.284,0.519,50.8,54.1,,8,0.468,14.6,,0.332
Texas-Rio Grande Valley,27,10,17,0.37,-13.68,-3.01,,,7,4,2,10,1763,1871,,,,0.412,0.284,0.525,49.6,66,,3.9,0.5,20.1,,0.256
Texas-San Antonio,32,19,13,0.594,-4.67,-4.17,8,8,11,3,6,9,2404,2285,,,,0.39,0.408,0.532,48.8,46.7,,4.3,0.493,16.6,,0.276
Texas Southern,32,7,25,0.219,-16.56,-7.46,7,11,4,6,3,16,2063,2354,,,,0.4,0.228,0.518,47.3,49.5,,4.9,0.493,22.1,,0.246
Texas State,30,14,16,0.467,-4.73,-3.93,7,9,11,4,2,10,2445,2319,,,,0.377,0.332,0.54,51.9,53.6,,5.5,0.512,18,,0.25
Texas Tech,33,14,19,0.424,5.04,8.04,3,13,12,6,0,11,2563,2607,,,,0.369,0.318,0.55,48.5,56.3,,5.3,0.511,17,,0.27
Texas NCAA,35,23,12,0.657,14.83,8.09,9,7,13,2,4,6,2532,2296,,,,0.386,0.274,0.519,53.4,48.9,,10.6,0.485,15.3,,0.258
Toledo,32,7,25,0.219,-10.48,-0.96,5,11,6,7,0,16,1893,2173,,,,0.336,0.303,0.497,48.8,50.1,,6.6,0.467,22.4,,0.219
Towson,34,12,22,0.353,-7.3,-1.27,5,13,6,8,4,12,2213,2399,,,,0.348,0.355,0.492,47.8,57,,8.9,0.457,16.4,,0.232
Troy,32,19,13,0.594,-3.64,-4.22,14,4,11,3,6,8,2500,2470,,,,0.305,0.373,0.556,48.7,49.9,,7.3,0.531,15,,0.213
Tulane,31,14,17,0.452,-1.3,0.9,7,9,10,6,2,11,2017,2055,,,,0.372,0.268,0.504,48.9,57.4,,6.8,0.467,17.5,,0.252
Tulsa,36,25,11,0.694,8.41,4.84,12,4,15,2,7,7,2405,2210,,,,0.405,0.306,0.536,54.3,46.9,,9.5,0.499,18.5,,0.282
UCLA NCAA,35,26,9,0.743,18.64,7.19,13,5,16,2,6,4,2642,2241,,,,0.312,0.332,0.583,52.6,55.9,,6.8,0.557,16.3,,0.226
Utah State NCAA,35,30,5,0.857,9.33,0.07,14,2,17,0,11,3,2534,2169,,,,0.383,0.311,0.591,55.4,63,,5.3,0.557,15.5,,0.284
Utah NCAA,34,24,10,0.706,12.59,5.72,12,4,13,2,6,7,2421,2195,,,,0.401,0.379,0.589,53.7,55.9,,9.8,0.544,18.6,,0.313
Valparaiso,31,9,22,0.29,-4.43,2.22,5,13,8,6,1,12,1900,2031,,,,0.344,0.387,0.507,48.7,59.4,,4,0.484,19.9,,0.21
Vanderbilt,31,19,12,0.613,8.18,3.81,8,8,14,4,3,7,2185,2033,,,,0.438,0.342,0.551,53.4,52.6,,8.7,0.509,19,,0.314
Vermont,33,24,9,0.727,4.64,-4.27,13,3,12,3,10,5,2533,2222,,,,0.453,0.275,0.568,50.3,58.7,,9.8,0.532,17.8,,0.317
Villanova NCAA,38,30,8,0.789,17.45,8.72,13,5,16,2,8,3,2919,2560,,,,0.419,0.32,0.555,53.5,55.7,,7,0.508,16.1,,0.316
Virginia Commonwealth NCAA,34,24,10,0.706,7.7,-0.65,14,4,16,1,7,6,2440,2156,,,,0.367,0.32,0.553,49.5,54.2,,9.4,0.52,16.3,,0.259
VMI,32,24,8,0.75,-3.3,-7.49,13,5,13,3,10,5,3002,2737,,,,0.326,0.537,0.57,42.3,57.6,,5.5,0.539,14.6,,0.24
Virginia Tech,34,19,15,0.559,8.79,6.88,7,9,10,6,5,6,2470,2405,,,,0.409,0.318,0.535,52.2,53.7,,8.8,0.49,16.6,,0.296
Virginia,28,10,18,0.357,5.87,8.34,4,12,9,8,1,9,1960,2029,,,,0.323,0.294,0.505,51,49.6,,7.6,0.463,17.6,,0.239
Wagner,30,16,14,0.533,-10.39,-8.6,8,10,8,6,8,8,2021,2049,,,,0.364,0.358,0.536,49.3,58.2,,6.6,0.515,19.3,,0.228
Wake Forest NCAA,31,24,7,0.774,15.63,7.36,11,5,14,1,7,4,2510,2193,,,,0.435,0.213,0.563,53.9,44.7,,10.2,0.524,18.1,,0.309
Washington State,33,17,16,0.515,11.29,7.5,8,10,9,7,5,7,1954,1829,,,,0.27,0.318,0.525,52.3,57.3,,10,0.488,16.8,,0.208
Washington NCAA,35,26,9,0.743,16.78,8.19,14,4,18,1,6,4,2750,2431,,,,0.435,0.203,0.534,55.5,46.9,,5,0.492,16.7,,0.304
Weber State,31,21,10,0.677,1.11,-2.39,15,1,10,3,9,6,2175,2055,,,,0.402,0.403,0.583,50,50.7,,7.7,0.548,19.3,,0.294
West Virginia NCAA,35,23,12,0.657,18.57,8.34,10,8,11,3,7,5,2521,2163,,,,0.359,0.34,0.521,54.1,59.8,,9.6,0.485,14.8,,0.251
Western Carolina,31,16,15,0.516,-7.17,-5.13,11,9,11,2,3,11,2293,2251,,,,0.314,0.348,0.524,51.4,45.8,,6.2,0.502,16.9,,0.199
Western Illinois,29,9,20,0.31,-10.86,-4.04,6,12,5,6,3,12,1701,1889,,,,0.306,0.288,0.524,47.3,58,,4.2,0.492,18.5,,0.218
Western Kentucky NCAA,34,25,9,0.735,3.68,-1.23,15,3,13,0,7,7,2454,2278,,,,0.335,0.37,0.549,53.4,52.1,,6.6,0.52,16.8,,0.231
Western Michigan,31,10,21,0.323,-5.69,-3.19,7,9,7,7,3,10,1918,2004,,,,0.4,0.395,0.5,49.3,53.3,,6.6,0.455,17.7,,0.28
Wichita State,34,17,17,0.5,2.05,2.08,8,10,14,3,1,11,2138,2124,,,,0.338,0.331,0.523,53.8,58.8,,7.7,0.491,18.8,,0.232
William & Mary,30,10,20,0.333,-5.97,-2.79,5,13,7,8,2,11,1844,1903,,,,0.315,0.41,0.504,50.2,62.2,,4.9,0.477,18.8,,0.205
Winthrop,30,11,19,0.367,-11.46,-4.54,9,9,7,6,4,12,1833,1991,,,,0.262,0.292,0.476,49,47.8,,8.5,0.447,17.3,,0.176
Wisconsin NCAA,33,20,13,0.606,12.43,8.43,10,8,13,3,4,7,2106,1948,,,,0.346,0.351,0.536,52,53.5,,6,0.499,14.4,,0.251
