,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
James Madison,30,7,23,0.233,-10.18,-1.11,4,14,4,10,2,11,1919,2178,,,,0.392,0.319,0.523,49,51.6,,4.2,0.49,18.6,,0.262
Kansas State,35,23,12,0.657,10.35,5.53,10,6,14,3,6,8,2467,2278,,,,0.418,0.343,0.526,51.9,64.8,,6.8,0.487,16.9,,0.287
Kansas NCAA,38,33,5,0.868,22.62,6.86,14,2,16,2,8,2,2978,2344,,,,0.362,0.261,0.567,54.6,58.9,,11.5,0.545,17,,0.239
Kent State,32,21,11,0.656,5.25,1.28,12,4,11,2,7,8,2195,1998,,,,0.34,0.316,0.532,51,57.2,,6.5,0.508,17.6,,0.218
Kentucky NCAA,34,22,12,0.647,17.12,11.41,9,7,14,2,4,6,2496,2302,,,,0.369,0.348,0.568,52.3,60.3,,7.9,0.538,18.3,,0.26
La Salle,30,10,20,0.333,-5.66,-1.87,3,13,6,12,3,7,2150,2241,,,,0.385,0.274,0.54,53.4,55.4,,3.5,0.507,19.4,,0.264
Lafayette,30,9,21,0.3,-14.16,-2.38,3,11,5,8,4,11,1938,2210,,,,0.385,0.48,0.551,43.5,64.7,,4.6,0.513,22.5,,0.279
Lamar,32,15,17,0.469,-7.89,-3.54,8,8,11,3,2,12,2367,2438,,,,0.393,0.378,0.537,50.6,68,,4.5,0.51,19.5,,0.253
Lehigh,31,12,19,0.387,-7.79,-3.99,7,7,9,5,3,12,1981,1984,,,,0.401,0.306,0.523,51.6,55.1,,5.3,0.481,19.7,,0.283
Liberty,31,14,17,0.452,-6.25,-3.25,8,6,11,4,3,11,2369,2298,,,,0.321,0.251,0.552,52.3,52.6,,4.7,0.523,17.9,,0.226
Lipscomb,31,18,13,0.581,-2.62,-4.62,11,7,13,1,4,12,2101,2017,,,,0.352,0.434,0.52,49.3,57.5,,5,0.483,15.5,,0.248
Long Beach State NCAA,32,24,8,0.75,2.24,-2.07,12,2,12,1,9,5,2575,2408,,,,0.35,0.365,0.554,49.4,50.1,,4.7,0.523,16.1,,0.246
Long Island University,29,10,19,0.345,-13.84,-7.88,6,12,6,7,4,12,2006,2118,,,,0.396,0.398,0.51,49,47.5,,3.3,0.473,17.7,,0.265
